isin,requested_exchCode,figi,name,ticker,exchCode,compositeFIGI,shareClassFIGI,securityType,securityType2,marketSector,securityDescription,warning,yahoo_ticker
INE486A01013,IN,,,,,,,,,,,No identifier found.,
INE066F01012,IN,,,,,,,,,,,No identifier found.,
INE171Z01018,IN,,,,,,,,,,,No identifier found.,
INE258A01016,IN,,,,,,,,,,,No identifier found.,
INE256A04022,IN,,,,,,,,,,,No identifier found.,
INE397D20024,IN,,,,,,,,,,,No identifier found.,
INE001A01036,IN,,,,,,,,,,,No identifier found.,
INE089A01023,IN,,,,,,,,,,,No identifier found.,
INE000A00000,IN,,,,,,,,,,,,
INE591G01017,IN,,,,,,,,,,,No identifier found.,
INE237A01028,IN,,,,,,,,,,,No identifier found.,
INE806T01012,IN,,,,,,,,,,,No identifier found.,
