isin,requested_exchCode,figi,name,ticker,exchCode,compositeFIGI,shareClassFIGI,securityType,securityType2,marketSector,securityDescription,warning,yahoo_ticker
INE062A01020,IN,BBG000GQ5749,STATE BANK OF INDIA,SBIN,IN,BBG000GQ5749,BBG001S8ZYV2,Common Stock,Common Stock,Equity,SBIN,,SBIN.NS
INE090A01021,IN,BBG000BBL437,ICICI BANK LTD,ICICIBC,IN,BBG000BBL437,BBG001S5VCX8,Common Stock,Common Stock,Equity,ICICIBC,,ICICIBC.NS
INE009A01021,IN,BBG000CT9HP8,INFOSYS LTD,INFO,IN,BBG000CT9HP8,BBG001S83PF4,Common Stock,Common Stock,Equity,INFO,,INFO.NS
INE018A01030,IN,BBG000CVM7D3,LARSEN & TOUBRO LTD,LT,IN,BBG000CVM7D3,BBG001S83XT2,Common Stock,Common Stock,Equity,LT,,LT.NS
INE733E01010,IN,BBG000BMWKD4,NTPC LTD,NTPC,IN,BBG000BMWKD4,BBG001S6PFQ4,Common Stock,Common Stock,Equity,NTPC,,NTPC.NS
INE522F01014,IN,BBG000C45298,COAL INDIA LTD,COAL,IN,BBG000C45298,BBG001SFZ5H5,Common Stock,Common Stock,Equity,COAL,,COAL.NS
INE154A01025,IN,BBG000BMYVC9,ITC LTD,ITC,IN,BBG000BMYVC9,BBG001S83LW4,Common Stock,Common Stock,Equity,ITC,,ITC.NS
INE238A01034,IN,BBG000BD5ZZ7,AXIS BANK LTD,AXSB,IN,BBG000BD5ZZ7,BBG001S6HYW5,Common Stock,Common Stock,Equity,AXSB,,AXSB.NS
INE002A01018,IN,BBG000BKVP93,RELIANCE INDUSTRIES LIMITED,RELIANCE,IN,BBG000BKVP93,BBG001S84HH9,Common Stock,Common Stock,Equity,RELIANCE,,RELIANCE.NS
INE040A01034,IN,BBG000F8W9K8,HDFC BANK LIMITED,HDFCB,IN,BBG000F8W9K8,BBG001S8J4N5,Common Stock,Common Stock,Equity,HDFCB,,HDFCB.NS
INE397D01024,IN,BBG000DX1FT6,BHARTI AIRTEL LTD,BHARTI,IN,BBG000DX1FT6,BBG001S91BW6,Common Stock,Common Stock,Equity,BHARTI,,BHARTI.NS
INE134E01011,IN,BBG000BXJH24,POWER FINANCE CORPORATION,POWF,IN,BBG000BXJH24,BBG001SB3HG4,Common Stock,Common Stock,Equity,POWF,,POWF.NS
INE020B01018,IN,BBG000R5L5T2,REC LTD,RECL,IN,BBG000R5L5T2,BBG001SR0P92,Common Stock,Common Stock,Equity,RECL,,RECL.NS
INE044A01036,IN,BBG000BV5G16,SUN PHARMACEUTICAL INDUS,SUNP,IN,BBG000BV5G16,BBG001S73WG0,Common Stock,Common Stock,Equity,SUNP,,SUNP.NS
INE326A01037,IN,BBG000CVRLC8,LUPIN LTD,LPC,IN,BBG000CVRLC8,BBG001S83YQ3,Common Stock,Common Stock,Equity,LPC,,LPC.NS
INE029A01011,IN,BBG000CP6CT6,BHARAT PETROLEUM CORP LTD,BPCL,IN,BBG000CP6CT6,BBG001S82YB0,Common Stock,Common Stock,Equity,BPCL,,BPCL.NS
INE486A01013,IN,,,,,,,,,,,No identifier found.,
INE066F01012,IN,,,,,,,,,,,No identifier found.,
INE028A01039,IN,BBG000BR4JZ3,BANK OF BARODA,BOB,IN,BBG000BR4JZ3,BBG001S9R6F8,Common Stock,Common Stock,Equity,BOB,,BOB.NS
INE123W01016,IN,BBG00GPZ5771,SBI LIFE INSURANCE CO LTD,SBILIFE,IN,BBG00GPZ5771,BBG00GPZ57D4,Common Stock,Common Stock,Equity,SBILIFE,,SBILIFE.NS
INE059A01026,IN,BBG000CQ0FS4,CIPLA LTD,CIPLA,IN,BBG000CQ0FS4,BBG001S832Y4,Common Stock,Common Stock,Equity,CIPLA,,CIPLA.NS
INE171Z01018,IN,,,,,,,,,,,No identifier found.,
INE220B01022,IN,BBG000BXWDD6,KALPATARU PROJECTS INTERNATI,KPIL,IN,BBG000BXWDD6,BBG001S7D319,Common Stock,Common Stock,Equity,KPIL,,KPIL.NS
INE151A01013,IN,BBG000D1WPZ3,TATA COMMUNICATIONS LTD,TCOM,IN,BBG000D1WPZ3,BBG001S852L6,Common Stock,Common Stock,Equity,TCOM,,TCOM.NS
INE094A01015,IN,BBG000CSNVZ2,HINDUSTAN PETROLEUM CORP,HPCL,IN,BBG000CSNVZ2,BBG001S83KF5,Common Stock,Common Stock,Equity,HPCL,,HPCL.NS
INE155A01022,IN,BBG000D0Z6J2,TATA MOTORS PASSENGER VEHICL,TMPV,IN,BBG000D0Z6J2,BBG001S84X02,Common Stock,Common Stock,Equity,TMPV,,TMPV.NS
INE053F01010,IN,BBG000DFQFN4,INDIAN RAILWAY FINANCE CORP,IRFC,IN,BBG000DFQFN4,BBG001SL0LW8,Common Stock,Common Stock,Equity,IRFC,,IRFC.NS
IN9002A01032,IN,BBG00TY43177,RELIANCE INDUSTRIES-PARTLY P,RILPP,IN,BBG00TY43177,BBG00TY431D0,Common Stock,Common Stock,Equity,RILPP,,RILPP.NS
INE258A01016,IN,,,,,,,,,,,No identifier found.,
INE406A01037,IN,BBG000BMFSP3,AUROBINDO PHARMA LTD,ARBP,IN,BBG000BMFSP3,BBG001S6NCG4,Common Stock,Common Stock,Equity,ARBP,,ARBP.NS
INE860A01027,IN,BBG000C68V87,HCL TECHNOLOGIES LTD,HCLT,IN,BBG000C68V87,BBG001SDQ0S9,Common Stock,Common Stock,Equity,HCLT,,HCLT.NS
INE018E01016,IN,BBG000D257N4,SBI CARDS & PAYMENT SERVICES,SBICARD,IN,BBG000D257N4,BBG001SG1PJ4,Common Stock,Common Stock,Equity,SBICARD,,SBICARD.NS
INE129A01019,IN,BBG000B9Y2W0,GAIL INDIA LTD,GAIL,IN,BBG000B9Y2W0,BBG001S9ZZB9,Common Stock,Common Stock,Equity,GAIL,,GAIL.NS
INE117A01022,IN,BBG000CNH2P5,ABB INDIA LTD,ABB,IN,BBG000CNH2P5,BBG001S82TB1,Common Stock,Common Stock,Equity,ABB,,ABB.NS
INE298A01020,IN,BBG000CV9JV2,CUMMINS INDIA LTD,KKC,IN,BBG000CV9JV2,BBG001S83W50,Common Stock,Common Stock,Equity,KKC,,KKC.NS
INE752E01010,IN,BBG000CZ35Q5,POWER GRID CORP OF INDIA LTD,PWGR,IN,BBG000CZ35Q5,BBG001SFV384,Common Stock,Common Stock,Equity,PWGR,,PWGR.NS
INE665L01035,IN,BBG000Q73FY1,VARROC ENGINEERING LTD,VARROC,IN,BBG000Q73FY1,BBG001SRVM22,Common Stock,Common Stock,Equity,VARROC,,VARROC.NS
INE263A01024,IN,BBG000CP4T57,BHARAT ELECTRONICS LTD,BHE,IN,BBG000CP4T57,BBG001S82Y48,Common Stock,Common Stock,Equity,BHE,,BHE.NS
INE067A01029,IN,BBG000CQ8XK5,CG POWER AND INDUSTRIAL SOLU,CGPOWER,IN,BBG000CQ8XK5,BBG001S834B5,Common Stock,Common Stock,Equity,CGPOWER,,CGPOWER.NS
INE027H01010,IN,BBG000DQX7B3,MAX HEALTHCARE INSTITUTE LTD,MAXHEALT,IN,BBG000DQX7B3,BBG001SN4H77,Common Stock,Common Stock,Equity,MAXHEALT,,MAXHEALT.NS
INE640A01023,IN,BBG000CYZ2Z0,SKF INDIA LTD,SKF,IN,BBG000CYZ2Z0,BBG001S84KB8,Common Stock,Common Stock,Equity,SKF,,SKF.NS
INE101A01026,IN,BBG000BKW6G6,MAHINDRA & MAHINDRA LTD,MM,IN,BBG000BKW6G6,BBG001S84086,Common Stock,Common Stock,Equity,MM,,MM.NS
INE074A01025,IN,BBG000D69XB7,PRAJ INDUSTRIES LTD,PRJ,IN,BBG000D69XB7,BBG001S85TB8,Common Stock,Common Stock,Equity,PRJ,,PRJ.NS
INE213A01029,IN,BBG000BF0B62,OIL & NATURAL GAS CORP LTD,ONGC,IN,BBG000BF0B62,BBG001S5Z8B7,Common Stock,Common Stock,Equity,ONGC,,ONGC.NS
INE917I01010,IN,BBG000CKDY02,BAJAJ AUTO LTD,BJAUT,IN,BBG000CKDY02,BBG001SM0KC0,Common Stock,Common Stock,Equity,BJAUT,,BJAUT.NS
